WRN 2026-06-05T00:34:17.930 ui.13011   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:34:17.930 ui.13011   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:34:17.930 ui.13011   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:34:17.930 ui.13011   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:34:17.930 ui.13011   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:35:37.418 ui.13511   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:35:37.418 ui.13511   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:35:37.418 ui.13511   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:35:37.418 ui.13511   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:35:37.418 ui.13511   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:37:00.802 ui.14280   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:37:00.802 ui.14280   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:37:00.802 ui.14280   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:37:00.802 ui.14280   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:37:00.802 ui.14280   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:37:20.052 ui.14401   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:37:20.052 ui.14401   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:37:20.052 ui.14401   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:37:20.052 ui.14401   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
